
42,SMITHFIELD NORTH,Smithfield North,53.349562,-6.278198,OPEN,25,5,2018-03-12 19:52:38,
30,PARNELL SQUARE NORTH,Parnell Square North,53.353462,-6.265305,OPEN,4,16,2018-03-12 19:49:09,
54,CLONMEL STREET,Clonmel Street,53.336021,-6.26298,OPEN,6,27,2018-03-12 19:50:35,
56,MOUNT STREET LOWER,Mount Street Lower,53.33796,-6.24153,OPEN,3,37,2018-03-12 19:48:38,
6,CHRISTCHURCH PLACE,Christchurch Place,53.343368,-6.27012,OPEN,8,12,2018-03-12 19:48:54,
18,GRANTHAM STREET,Grantham Street,53.334123,-6.265436,OPEN,6,24,2018-03-12 19:49:46,
32,PEARSE STREET,Pearse Street,53.344304,-6.250427,OPEN,16,14,2018-03-12 19:48:58,
52,YORK STREET EAST,York Street East,53.338755,-6.262003,OPEN,0,32,2018-03-12 19:49:47,
48,EXCISE WALK,Excise Walk,53.347777,-6.244239,OPEN,33,7,2018-03-12 19:53:19,
13,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,53.336074,-6.252825,OPEN,7,23,2018-03-12 19:52:56,
43,PORTOBELLO ROAD,Portobello Road,53.330091,-6.268044,OPEN,17,13,2018-03-12 19:47:54,
81,ST. JAMES HOSPITAL (CENTRAL),St. James Hospital (Central),53.339983,-6.295594,OPEN,29,11,2018-03-12 19:52:19,
31,PARNELL STREET,Parnell Street,53.350929,-6.265125,OPEN,2,18,2018-03-12 19:51:23,
98,FREDERICK STREET SOUTH,Frederick Street South,53.341515,-6.256853,OPEN,2,28,2018-03-12 19:49:52,
14,FOWNES STREET UPPER,Fownes Street Upper,53.344603,-6.263371,OPEN,28,2,2018-03-12 19:53:37,
1,CLARENDON ROW,Clarendon Row,53.340927,-6.262501,OPEN,1,30,2018-03-12 19:54:23,
23,CUSTOM HOUSE,Custom House,53.348279,-6.254662,OPEN,28,2,2018-03-12 19:54:03,
68,HANOVER QUAY,Hanover Quay,53.344115,-6.237153,OPEN,2,38,2018-03-12 19:52:25,
74,OLIVER BOND STREET,Oliver Bond Street,53.343893,-6.280531,OPEN,14,16,2018-03-12 19:47:33,
87,COLLINS BARRACKS MUSEUM,Collins Barracks Museum,53.347477,-6.28525,OPEN,22,16,2018-03-12 19:45:08,
84,BROOKFIELD ROAD,Brookfield Road,53.339005,-6.300217,OPEN,19,11,2018-03-12 19:51:02,
90,BENSON STREET,Benson Street,53.344153,-6.233451,CLOSED,0,0,2018-03-12 19:47:32,
11,EARLSFORT TERRACE,Earlsfort Terrace,53.334019,-6.258371,OPEN,5,25,2018-03-12 19:52:23,
17,GOLDEN LANE,Golden Lane,53.340803,-6.267732,OPEN,5,15,2018-03-12 19:48:25,
45,DEVERELL PLACE,Deverell Place,53.351464,-6.255265,OPEN,17,13,2018-03-12 19:54:25,
72,JOHN STREET WEST,John Street West,53.343105,-6.277167,OPEN,28,3,2018-03-12 19:53:46,
63,FENIAN STREET,Fenian Street,53.341428,-6.24672,OPEN,13,22,2018-03-12 19:47:38,
91,SOUTH DOCK ROAD,South Dock Road,53.341833,-6.231291,OPEN,27,3,2018-03-12 19:53:59,
99,CITY QUAY,City Quay,53.346637,-6.246154,OPEN,18,12,2018-03-12 19:52:05,
9,EXCHEQUER STREET,Exchequer Street,53.343034,-6.263578,OPEN,1,23,2018-03-12 19:54:09,
67,THE POINT,The Point,53.346867,-6.230852,OPEN,39,1,2018-03-12 19:53:45,
55,HATCH STREET,Hatch Street,53.33403,-6.260714,OPEN,2,34,2018-03-12 19:47:47,
62,LIME STREET,Lime Street,53.346026,-6.243576,OPEN,10,30,2018-03-12 19:50:34,
5,CHARLEMONT PLACE,Charlemont Street,53.330662,-6.260177,OPEN,25,15,2018-03-12 19:51:11,
97,KILMAINHAM GAOL,Kilmainham Gaol,53.342113,-6.310015,OPEN,31,9,2018-03-12 19:50:05,
61,HARDWICKE PLACE,Hardwicke Place,53.357043,-6.263232,OPEN,6,19,2018-03-12 19:51:19,
77,WOLFE TONE STREET,Wolfe Tone Street,53.348875,-6.267459,OPEN,6,23,2018-03-12 19:53:51,
73,FRANCIS STREET,Francis Street,53.342081,-6.275233,OPEN,21,9,2018-03-12 19:51:15,
4,GREEK STREET,Greek Street,53.346874,-6.272976,OPEN,1,19,2018-03-12 19:54:23,
49,GUILD STREET,Guild Street,53.347932,-6.240928,OPEN,29,11,2018-03-12 19:51:31,
19,HERBERT PLACE,Herbert Place,53.334432,-6.245575,OPEN,16,14,2018-03-12 19:53:14,
7,HIGH STREET,High Street,53.343565,-6.275071,OPEN,13,16,2018-03-12 19:54:26,
60,NORTH CIRCULAR ROAD,North Circular Road,53.359624,-6.260348,OPEN,30,0,2018-03-12 19:51:37,
102,WESTERN WAY,Western Way,53.354929,-6.269425,OPEN,7,33,2018-03-12 19:52:19,
38,TALBOT STREET,Talbot Street,53.350974,-6.25294,OPEN,32,8,2018-03-12 19:54:25,
53,NEWMAN HOUSE,Newman House,53.337132,-6.26059,OPEN,0,40,2018-03-12 19:49:35,
58,SIR PATRICK DUN'S,Sir Patrick's Dun,53.339218,-6.240642,OPEN,0,40,2018-03-12 19:52:40,
66,NEW CENTRAL BANK,New Central Bank,53.347122,-6.234749,OPEN,15,25,2018-03-12 19:49:10,
101,KING STREET NORTH,King Street North,53.350291,-6.273507,OPEN,8,22,2018-03-12 19:50:15,
47,HERBERT STREET,Herbert Street,53.335742,-6.24551,OPEN,0,40,2018-03-12 19:48:48,
8,CUSTOM HOUSE QUAY,Custom House Quay,53.347884,-6.248048,OPEN,2,28,2018-03-12 19:54:22,
27,MOLESWORTH STREET,Molesworth Street,53.341288,-6.258117,OPEN,0,20,2018-03-12 19:54:08,
16,GEORGES QUAY,Georges Quay,53.347508,-6.252192,OPEN,17,3,2018-03-12 19:50:45,
96,KILMAINHAM LANE,Kilmainham Lane,53.341805,-6.305085,OPEN,11,19,2018-03-12 19:48:01,
82,MOUNT BROWN,Mount Brown,53.341645,-6.29719,OPEN,8,14,2018-03-12 19:47:54,
76,MARKET STREET SOUTH,Market Street South,53.342296,-6.287661,OPEN,14,24,2018-03-12 19:52:39,
71,KEVIN STREET,Kevin Street,53.337757,-6.267699,OPEN,10,30,2018-03-12 19:54:11,
79,ECCLES STREET EAST,Eccles Street East,53.358115,-6.265601,OPEN,5,22,2018-03-12 19:48:42,
69,GRAND CANAL DOCK,Grand Canal Dock,53.342638,-6.238695,OPEN,2,38,2018-03-12 19:53:19,
25,MERRION SQUARE EAST,Merrion Square East,53.339434,-6.246548,OPEN,3,27,2018-03-12 19:49:21,
51,YORK STREET WEST,York Street West,53.339334,-6.264699,OPEN,0,40,2018-03-12 19:52:52,
37,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,53.337494,-6.26199,OPEN,0,30,2018-03-12 19:46:19,
59,DENMARK STREET GREAT,Denmark Street Great,53.35561,-6.261397,OPEN,1,19,2018-03-12 19:49:13,
95,ROYAL HOSPITAL,Royal Hospital,53.343897,-6.29706,OPEN,12,28,2018-03-12 19:49:28,
94,HEUSTON STATION (CAR PARK),Heuston Station (Car Park),53.346985,-6.297804,OPEN,36,4,2018-03-12 19:50:53,
36,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,53.337824,-6.256035,OPEN,1,39,2018-03-12 19:54:29,
93,HEUSTON STATION (CENTRAL),Heuston Station (Central),53.346603,-6.296924,OPEN,29,11,2018-03-12 19:50:41,
22,TOWNSEND STREET,Townsend Street,53.345922,-6.254614,OPEN,6,14,2018-03-12 19:51:55,
12,ECCLES STREET,Eccles Street,53.359246,-6.269779,OPEN,20,0,2018-03-12 19:52:36,
34,PORTOBELLO HARBOUR,Portobello Harbour,53.330362,-6.265163,OPEN,14,16,2018-03-12 19:51:54,
78,MATER HOSPITAL,Mater Hospital,53.359967,-6.264828,OPEN,25,15,2018-03-12 19:46:02,
2,BLESSINGTON STREET,Blessington Street,53.356769,-6.26814,OPEN,9,11,2018-03-12 19:53:50,
75,JAMES STREET,James Street,53.343456,-6.287409,OPEN,40,0,2018-03-12 19:54:34,
26,MERRION SQUARE WEST,Merrion Square West,53.339764,-6.251988,OPEN,13,7,2018-03-12 19:47:49,
65,CONVENTION CENTRE,Convention Centre,53.34744,-6.238523,OPEN,9,31,2018-03-12 19:51:29,
15,HARDWICKE STREET,Hardwicke Street,53.355473,-6.264423,OPEN,9,7,2018-03-12 19:53:11,
86,PARKGATE STREET,Parkgate Street,53.347972,-6.291804,OPEN,38,0,2018-03-12 19:52:08,
35,SMITHFIELD,Smithfield,53.347692,-6.278214,OPEN,8,22,2018-03-12 19:52:56,
10,DAME STREET,Dame Street,53.344007,-6.266802,OPEN,16,0,2018-03-12 19:53:46,
100,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),53.347106,-6.292041,OPEN,11,14,2018-03-12 19:49:55,
24,CATHAL BRUGHA STREET,Cathal Brugha Street,53.352149,-6.260533,OPEN,3,17,2018-03-12 19:53:42,
64,SANDWITH STREET,Sandwith Street,53.345203,-6.247163,CLOSED,0,0,2018-03-12 19:53:06,
85,ROTHE ABBEY,Rothe Abbey,53.338776,-6.30395,OPEN,20,15,2018-03-12 19:54:28,
33,PRINCES STREET / O'CONNELL STREET,Princes Street / O'Connell Street,53.349013,-6.260311,OPEN,8,15,2018-03-12 19:52:03,
44,UPPER SHERRARD STREET,Upper Sherrard Street,53.358437,-6.260641,OPEN,18,12,2018-03-12 19:54:21,
89,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,53.335211,-6.2509,CLOSED,0,0,2018-03-12 19:47:17,
57,GRATTAN STREET,Grattan Street,53.339629,-6.243778,OPEN,2,21,2018-03-12 19:54:00,
80,ST JAMES HOSPITAL (LUAS),St James Hospital (Luas),53.341359,-6.292951,OPEN,23,17,2018-03-12 19:52:47,
41,HARCOURT TERRACE,Harcourt Terrace,53.332763,-6.257942,OPEN,2,18,2018-03-12 19:54:07,
3,BOLTON STREET,Bolton Street,53.351182,-6.269859,OPEN,3,17,2018-03-12 19:51:15,
46,STRAND STREET GREAT,Strand Street Great,53.347082,-6.264192,OPEN,8,27,2018-03-12 19:45:36,
40,JERVIS STREET,Jervis Street,53.3483,-6.266651,OPEN,0,21,2018-03-12 19:54:10,
29,ORMOND QUAY UPPER,Ormond Quay Upper,53.346057,-6.268001,OPEN,15,14,2018-03-12 19:47:40,
70,BARROW STREET,Barrow Street,53.341655,-6.236198,OPEN,17,23,2018-03-12 19:51:02,
28,MOUNTJOY SQUARE WEST,Mountjoy Square West,53.356299,-6.258586,OPEN,4,26,2018-03-12 19:46:23,
39,WILTON TERRACE,Wilton Terrace,53.332383,-6.252717,OPEN,7,13,2018-03-12 19:54:11,
83,EMMET ROAD,Emmet Road,53.340714,-6.308191,OPEN,29,11,2018-03-12 19:46:11,
92,HEUSTON BRIDGE (NORTH),Heuston Bridge (North),53.347802,-6.292432,OPEN,31,9,2018-03-12 19:50:49,
21,LEINSTER STREET SOUTH,Leinster Street South,53.34218,-6.254485,OPEN,17,13,2018-03-12 19:46:23,
88,BLACKHALL PLACE,Blackhall Place,53.3488,-6.281637,OPEN,13,17,2018-03-12 19:53:27,
42,SMITHFIELD NORTH,Smithfield North,53.349562,-6.278198,OPEN,25,5,2018-03-12 19:52:38,
30,PARNELL SQUARE NORTH,Parnell Square North,53.353462,-6.265305,OPEN,4,16,2018-03-12 19:49:09,
54,CLONMEL STREET,Clonmel Street,53.336021,-6.26298,OPEN,6,27,2018-03-12 19:50:35,
56,MOUNT STREET LOWER,Mount Street Lower,53.33796,-6.24153,OPEN,3,37,2018-03-12 19:48:38,
6,CHRISTCHURCH PLACE,Christchurch Place,53.343368,-6.27012,OPEN,8,12,2018-03-12 19:48:54,
18,GRANTHAM STREET,Grantham Street,53.334123,-6.265436,OPEN,7,23,2018-03-12 19:54:51,
32,PEARSE STREET,Pearse Street,53.344304,-6.250427,OPEN,16,14,2018-03-12 19:48:58,
52,YORK STREET EAST,York Street East,53.338755,-6.262003,OPEN,0,32,2018-03-12 19:49:47,
48,EXCISE WALK,Excise Walk,53.347777,-6.244239,OPEN,33,7,2018-03-12 19:55:33,
13,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,53.336074,-6.252825,OPEN,7,23,2018-03-12 19:52:56,
43,PORTOBELLO ROAD,Portobello Road,53.330091,-6.268044,OPEN,17,13,2018-03-12 19:47:54,
81,ST. JAMES HOSPITAL (CENTRAL),St. James Hospital (Central),53.339983,-6.295594,OPEN,29,11,2018-03-12 19:52:19,
31,PARNELL STREET,Parnell Street,53.350929,-6.265125,OPEN,1,19,2018-03-12 19:55:34,
98,FREDERICK STREET SOUTH,Frederick Street South,53.341515,-6.256853,OPEN,2,28,2018-03-12 19:49:52,
14,FOWNES STREET UPPER,Fownes Street Upper,53.344603,-6.263371,OPEN,29,1,2018-03-12 19:55:00,
1,CLARENDON ROW,Clarendon Row,53.340927,-6.262501,OPEN,0,31,2018-03-12 19:55:17,
23,CUSTOM HOUSE,Custom House,53.348279,-6.254662,OPEN,28,2,2018-03-12 19:54:03,
68,HANOVER QUAY,Hanover Quay,53.344115,-6.237153,OPEN,1,39,2018-03-12 19:55:31,
74,OLIVER BOND STREET,Oliver Bond Street,53.343893,-6.280531,OPEN,14,16,2018-03-12 19:47:33,
87,COLLINS BARRACKS MUSEUM,Collins Barracks Museum,53.347477,-6.28525,OPEN,22,16,2018-03-12 19:55:17,
84,BROOKFIELD ROAD,Brookfield Road,53.339005,-6.300217,OPEN,19,11,2018-03-12 19:51:02,
90,BENSON STREET,Benson Street,53.344153,-6.233451,CLOSED,0,0,2018-03-12 19:47:32,
11,EARLSFORT TERRACE,Earlsfort Terrace,53.334019,-6.258371,OPEN,5,25,2018-03-12 19:52:23,
17,GOLDEN LANE,Golden Lane,53.340803,-6.267732,OPEN,5,15,2018-03-12 19:48:25,
45,DEVERELL PLACE,Deverell Place,53.351464,-6.255265,OPEN,18,12,2018-03-12 19:54:43,
72,JOHN STREET WEST,John Street West,53.343105,-6.277167,OPEN,28,3,2018-03-12 19:53:46,
63,FENIAN STREET,Fenian Street,53.341428,-6.24672,OPEN,13,22,2018-03-12 19:47:38,
91,SOUTH DOCK ROAD,South Dock Road,53.341833,-6.231291,OPEN,27,3,2018-03-12 19:53:59,
99,CITY QUAY,City Quay,53.346637,-6.246154,OPEN,18,12,2018-03-12 19:52:05,
9,EXCHEQUER STREET,Exchequer Street,53.343034,-6.263578,OPEN,1,23,2018-03-12 19:54:09,
67,THE POINT,The Point,53.346867,-6.230852,OPEN,39,1,2018-03-12 19:53:45,
55,HATCH STREET,Hatch Street,53.33403,-6.260714,OPEN,2,34,2018-03-12 19:47:47,
62,LIME STREET,Lime Street,53.346026,-6.243576,OPEN,9,31,2018-03-12 19:55:36,
